,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,1190250,2017-10-28 15:00:00,26,166,0 : 0,3 : 0,7.20571428571429,660,766,2,8,6,9,0,14,10,24,73.4,6.20785714285714,174,280,0,0,1,2,1,13,8,27,26.6,0,0,3,0,1.0
0,1190239,2017-10-28 17:30:00,183,15,0 : 0,0 : 1,6.285,376,459,3,1,3,5,0,7,5,25,41.7,6.99714285714286,569,653,6,5,7,5,0,16,5,17,58.3,0,0,0,1,-1.0
0,1190248,2017-10-29 16:00:00,14,31,2 : 0,2 : 0,7.115,214,324,1,3,5,3,0,14,6,20,40.4,6.35642857142857,374,470,6,2,7,10,0,19,10,30,59.6,2,0,2,0,1.0
0,1190242,2017-10-29 16:30:00,211,18,0 : 1,1 : 1,6.63769230769231,395,490,1,2,4,2,0,18,9,23,51.9,6.43714285714286,360,450,3,1,2,7,0,16,10,23,48.1,0,1,1,1,0.0
0,1190244,2017-10-30 20:00:00,184,23,0 : 0,1 : 0,7.22333333333333,343,451,4,5,3,5,0,14,9,22,47.1,6.58357142857143,409,521,4,5,3,3,0,10,10,22,52.9,0,0,1,0,1.0
0,1190304,2017-11-04 12:30:00,96,14,1 : 1,2 : 2,6.87769230769231,284,379,1,7,3,4,0,15,12,28,47.2,6.76785714285714,337,424,5,4,5,10,0,14,8,24,52.8,1,1,2,2,0.0
0,1190308,2017-11-04 15:00:00,259,211,0 : 1,0 : 1,6.55142857142857,379,468,7,2,3,8,0,12,13,22,56.1,6.89857142857143,267,371,1,2,2,7,0,17,12,16,43.9,0,1,0,1,-1.0
0,1190300,2017-11-04 15:00:00,18,184,0 : 0,0 : 1,6.41,466,575,4,3,6,9,0,15,4,27,62.8,6.99692307692308,239,344,2,1,2,1,0,11,4,32,37.2,0,0,0,1,-1.0
0,1190296,2017-11-04 15:00:00,23,183,0 : 0,0 : 1,6.83857142857143,276,373,3,4,9,11,0,19,11,14,48.0,7.05769230769231,308,407,4,6,6,9,0,10,12,26,52.0,0,0,0,1,-1.0
0,1190262,2017-11-04 15:00:00,166,175,1 : 0,1 : 0,6.94142857142857,339,421,1,3,3,3,0,20,8,22,50.1,6.40714285714286,330,417,4,3,2,5,0,13,15,30,49.9,1,0,1,0,1.0
0,1190316,2017-11-04 17:30:00,29,26,0 : 2,1 : 4,6.13142857142857,335,442,0,1,5,2,0,10,9,22,48.0,7.10714285714286,381,488,1,7,7,3,0,20,13,25,52.0,0,2,1,4,-1.0
0,1190312,2017-11-05 12:00:00,30,162,0 : 0,1 : 0,6.97928571428572,491,583,4,2,6,10,0,20,6,27,68.4,6.54833333333333,185,268,3,3,5,9,0,19,7,22,31.6,0,0,1,0,1.0
0,1190292,2017-11-05 14:15:00,167,13,1 : 0,3 : 1,7.08071428571429,544,624,2,5,2,5,0,18,15,16,58.2,6.20142857142857,369,450,0,3,3,5,0,16,15,27,41.8,1,0,3,1,1.0
